Unfairness weight,Local cost weight,Global cost weight
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98
0.01,0.01,0.98

